city_travel,lng2,lat2,lng1,lat1,sum
无锡,129.13,43.14,116.41,40.18,48
摩纳哥,121.6,31.2,116.41,40.18,8
吉林,129.13,43.14,116.41,40.18,22
湖州,120.06,32.57,116.41,40.18,16
弗赖辛,121.6,31.2,116.41,40.18,30
广州,102.88,25.39,116.41,40.18,150
甲米,114.1,22.6,116.41,40.18,229
柏市,116.41,40.18,116.41,40.18,18
四平,129.13,43.14,116.41,40.18,8
广州,116.64,23.29,116.41,40.18,106
周口,114.1,22.6,116.41,40.18,51
天津,119.08,36.57,116.41,40.18,17
北京,100.94,21.93,116.41,40.18,1127
千葉市,140.3,35.64,116.41,40.18,169
娄底,121.6,31.2,116.41,40.18,50
呼伦贝尔,116.41,40.18,116.41,40.18,236
余市町,121.6,31.2,116.41,40.18,63
内格罗斯东方,114.1,22.6,116.41,40.18,1278
山中湖村,127.96,45.64,116.41,40.18,26
安阳,107.87,30.06,116.41,40.18,11
天水,116.41,40.18,116.41,40.18,160
厦门,112.69,22.15,116.41,40.18,44
林芝,120.08,31.53,116.41,40.18,222
海南,122.21,39.43,116.41,40.18,116
天门,118.84,31.93,116.41,40.18,12
晋中,113.47,34.63,116.41,40.18,48
曼谷,113.87,22.92,116.41,40.18,18
上海,107.87,30.06,116.41,40.18,89
盐城,118.33,31.07,116.41,40.18,48
汉中,114.44,38.13,116.41,40.18,8
和田,117.39,39.26,116.41,40.18,44
西哈努克,120.58,27.79,116.41,40.18,78
海法,121.6,31.2,116.41,40.18,37
张家界,121.6,31.2,116.41,40.18,170
滁州,114.1,22.6,116.41,40.18,13
马尼拉,114.1,22.6,116.41,40.18,97
瓦拉纳西,121.6,31.2,116.41,40.18,72
三门峡,113.47,34.63,116.41,40.18,22
魏玛,13.4,52.5,116.41,40.18,24
底特律,113.87,22.92,116.41,40.18,74
昆明,113.9,27.52,116.41,40.18,865
北京,127.96,45.64,116.41,40.18,93
京都,103.85,30.67,116.41,40.18,8
南通,120.06,32.57,116.41,40.18,12
揭阳,116.41,40.18,116.41,40.18,171
晋城,116.41,40.18,116.41,40.18,249
春武里,121.6,31.2,116.41,40.18,260
列蒂,121.6,31.2,116.41,40.18,199
宜春,116.02,28.66,116.41,40.18,21
阿坝,103.85,30.67,116.41,40.18,141
福岡市,114.1,22.6,116.41,40.18,15
因特拉肯,116.41,40.18,116.41,40.18,326
白川村,119.5,29.91,116.41,40.18,29
南昌,119.87,30.75,116.41,40.18,79
湘潭,116.41,40.18,116.41,40.18,8
香港,125.77,44.38,116.41,40.18,131
乐山,121.6,31.2,116.41,40.18,53
酒々井町,140.3,35.64,116.41,40.18,46
马拉加,116.41,40.18,116.41,40.18,93
昆明,101.57,25.35,116.41,40.18,715
春武里,113.87,22.92,116.41,40.18,47
黔东南,113.15,28.23,116.41,40.18,11
文昌,116.41,40.18,116.41,40.18,32
大同,121.6,31.2,116.41,40.18,1564
布雷西亚,120.65,31.38,116.41,40.18,16
八王子市,116.41,40.18,116.41,40.18,13
台北,114.1,22.6,116.41,40.18,270
清迈,112.57,26.79,116.41,40.18,298
宁波,112.28,33.05,116.41,40.18,13
托尔西,116.41,40.18,116.41,40.18,343
白浜町,120.08,31.53,116.41,40.18,6
桃园,106.71,26.84,116.41,40.18,63
南通,121.6,31.2,116.41,40.18,630
洛桑,116.41,40.18,116.41,40.18,43
福州,118.33,25.15,116.41,40.18,22
西安,114.44,38.13,116.41,40.18,265
杭州,127.96,45.64,116.41,40.18,22
滁州,121.6,31.2,116.41,40.18,139
首尔,119.5,29.91,116.41,40.18,42
盐湖城,116.41,40.18,116.41,40.18,31
上海,111.94,31.93,116.41,40.18,44
淮安,117.24,31.99,116.41,40.18,7
大津市,119.5,29.91,116.41,40.18,7
伊達市,116.41,40.18,116.41,40.18,171
静岡市,121.6,31.2,116.41,40.18,10
酒泉,107.87,30.06,116.41,40.18,63
锡林郭勒,113.47,34.63,116.41,40.18,8
湖州,120.08,31.53,116.41,40.18,7
长治,116.41,40.18,116.41,40.18,215
柏林,121.6,31.2,116.41,40.18,627
铜仁,116.41,40.18,116.41,40.18,49
邯郸,121.6,31.2,116.41,40.18,1399
克拉玛依,116.41,40.18,116.41,40.18,119
大连,116.41,40.18,116.41,40.18,684
京都,119.31,25.98,116.41,40.18,7
河内,111.94,31.93,116.41,40.18,14
北斗市,116.41,40.18,116.41,40.18,86
海西,107.87,30.06,116.41,40.18,35
张家口,116.41,40.18,116.41,40.18,1318
曲靖,121.6,31.2,116.41,40.18,217
