"lat","lon"
"41.8827","-87.6232"
"38.888","-77.01"
"38.8878","-77.0478"
"38.8972","-77.0063"
"38.8975","-77.0223"
"38.8894","-77.0352"
"38.8877","-77.0435"
"38.891","-77.0268"
"38.8878","-77.0483"
"38.8893","-77.0498"
"42.3587","-71.0643"
"42.362","-71.0908"
"42.3745","-71.1172"
"42.3598","-71.0547"
"31.2204","121.4699"
"31.3311","121.4868"
"31.3311","121.4868"
"31.331","121.4865"
"37.5721","112.37"
"37.5602","112.5052"
"37.5606","112.5047"
"31.3307","121.4843"
"31.2036","121.4772"
"38.033","114.6248"
"30.2217","120.1043"
"31.1681","121.4144"
"31.2587","121.5752"
"22.6278","110.1459"
"22.6278","110.1459"
"22.6802","110.2413"
"22.6804","110.2414"
"45.174","29.1181"
"29.9677","120.6082"
"30.0048","117.9851"
"30.0048","117.9851"
"30.0048","117.9851"
"30.004","117.9857"
"30.0037","117.9861"
"30.0036","117.9862"
"30.0036","117.9861"
"30.003","117.9855"
"30.0031","117.9852"
"30.0029","117.9843"
"30.003","117.9842"
"30.003","117.9842"
"30.0032","117.984"
"30.0031","117.9843"
"30.0032","117.9843"
"30.0033","117.9844"
"30.0033","117.9843"
"30.0034","117.9844"
"30.0035","117.9841"
"30.0044","117.9835"
"29.9781","117.9811"
"29.9781","117.9811"
"29.9781","117.9806"
"29.9782","117.9811"
"29.9782","117.9811"
"30.0063","117.983"
"30.0063","117.983"
"30.0028","117.9848"
"30.0028","117.9848"
"30.2889","118.7514"
"30.3843","118.8028"
"30.8744","119.3945"
"30.8744","119.3944"
"31.3357","121.5066"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2052","121.4901"
"31.2335","121.4974"
"31.2301","121.4938"
"31.2306","121.4937"
"31.2306","121.4937"
"31.2003","121.4792"
"31.2003","121.4792"
"31.2402","121.4909"
"31.2402","121.4909"
"25.9037","100.2046"
"31.2402","121.4908"
"31.2402","121.4908"
"31.3345","121.5031"
"31.3345","121.5031"
"25.8934","100.2165"
"31.2027","121.4783"
"22.6412","110.1668"
"22.6412","110.1657"
